feature,importance_mean,importance_std
MonthlyCharges,0.13064528714107365,0.012463526092130856
TotalCharges,0.03271252730961296,0.006363981926278261
Contract,0.012825276997503077,0.0022918487040130453
PaymentMethod,0.009437909644194742,0.0058990220470311935
tenure,0.007464302434456916,0.0026462245249778645
TechSupport,0.003991104868913842,0.003533755266389588
PaperlessBilling,0.001589809612983739,0.003033255004148555
PhoneService,0.0006817649812733584,0.0005691268266868498
StreamingTV,0.0004910853620473721,0.0003064895144393454
DeviceProtection,3.169865792759241e-05,1.4670732830533939e-05
SeniorCitizen,8.290418227197005e-06,0.0008068749790023682
gender,-8.973158551813797e-05,0.0001269108693649543
OnlineBackup,-0.00017458645443196863,0.000285008936783505
DependentsCount,-0.000301868757802759,0.00021130819236344278
Partner,-0.00033503043071165807,0.00041171764771965886
OnlineSecurity,-0.00037745786516851787,0.00034656406363044596
MultipleLines,-0.0003779455368289608,0.00038494102337710984
InternetService,-0.0006227567103621156,0.002744628106002038
StreamingMovies,-0.0007724719101123822,0.0005764444056565685
